Date,AA,AAPL,AXP,BA,BAC,CAT,CVX,DD,DIS,GE,HD,HPQ,INTC,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,VZ,WMT,XOM,T
3/31/1994,-0.048173279,-0.089040899,-0.051282439,-0.048128348,-0.063938695,0.036908933,-3.03E-02,-0.004694873,-0.124999546,-0.044495533,-0.020303332,-0.091279673,-0.018182823,0.033096903,-0.059189998,-0.01325201,-0.042366289,-0.061855667,-6.05E-02,-0.072969504,0.027275736,0.024645658,-0.068965252,-0.069565266,-5.56E-02,-0.086397641,-0.05479434,-8.67E-02,-0.030828517,0.03194889
4/30/1994,-0.050610249,-0.097744123,0.077273692,0.011235934,0.142076606,-0.020919463,5.95E-02,0.077830205,0.013724992,-0.047499613,0.030674062,-0.02283051,-0.095545865,0.052631641,0.096026461,-0.044673769,0.027692387,0.054945106,-1.01E-02,-0.004201784,0.09144271,0.011792295,0.092593451,0.069236521,2.09E-02,0.026157657,0.013681234,-2.42E-02,0,0.038019086
5/31/1994,0.044747902,-0.021145214,0.056643948,0.036361565,0.068626017,-0.02730375,-1.20E-02,0.093582138,0.020588252,0.044619887,0.074405222,-0.021806782,0.024589993,0.100415856,0.076989736,0.10431712,-0.03592814,0.033333268,5.02E-02,0.029535872,0.162165496,0.10023352,0.089111835,-0.00879119,-2.20E-02,0.048549545,0.031401051,-6.93E-02,-0.016548932,-0.009036181
6/30/1994,0.035398242,-0.094016914,-0.067872991,-0.002695466,-0.072234813,-0.064327779,-3.74E-02,-0.060483858,-0.040345853,-0.055638675,-0.065660689,-0.037706115,-0.063999808,-0.067460297,-0.03107339,0.013128613,0.01403879,-0.066742076,-2.70E-02,-0.015515064,-0.039536966,0.013150094,-0.009803485,-0.053215079,4.38E-02,-0.032015579,0.049180232,3.37E-02,-0.07157457,0.057750741
7/31/1994,0.070086035,0.271226344,0.038198772,-0.035135115,0.085158147,0.086741423,5.97E-02,0.019313322,0.019817485,0.080429013,-0.029673899,0.031560951,0.013871329,0.053191453,0.096209884,-0.003246372,0.092307683,-0.060606057,7.05E-02,-0.004201726,-0.002420677,0.029287535,-0.017821754,0.051216638,6.54E-02,-0.062256901,0.023861328,3.09E-02,0.048458133,-0.025634997
8/31/1994,0.078998113,0.077937658,0.061320675,0.02530391,0.008414942,0.06459057,-3.48E-02,0.026992125,-0.026548532,-0.012406191,0.107034632,0.159420534,0.109707152,0.111481318,0.072988922,0.009772021,0.036619783,0.043815974,4.59E-02,0.15189879,0.128640387,0.046748379,0.109215067,0.091928203,1.17E-02,0.064619088,-0.033112715,-1.33E-02,0.012171425,-0.014880997
9/30/1994,0.008928555,-0.069084239,0.079999257,-0.04945051,-0.12107628,-0.061755464,-1.77E-02,-0.041322345,-0.060606168,-0.025467724,-0.070981696,-0.025932504,-0.064639837,0.016423352,0.032418908,-0.085438474,0.061553146,-0.066371682,2.27E-03,0.053147153,-0.034408772,-0.079258675,0.012820926,-0.0205339,-5.20E-02,-0.01571716,-0.031963623,-5.08E-02,-0.03361346,0.027190366
10/31/1994,0.010648769,0.282003096,0.024047633,0.01445082,0.010204025,0.10691105,8.11E-02,0.028017238,0.02134427,0.015584647,0.083333569,0.120171504,0.01119153,0.070017982,0.055555597,0.085714368,0.03598974,0.094786692,2.26E-03,0,0.122495033,0.027428744,0.072331668,0.060422036,7.38E-02,0.005988776,0.001273859,5.35E-03,0.093478341,-0.005266431
11/30/1994,-0.042522503,-0.134884065,-0.040486041,0.028636613,-0.083416938,-0.094142288,-2.04E-02,-0.088683737,0.10126547,-0.058822898,0.016483834,-0.001277529,0.016096499,-0.047094361,-0.017520072,-0.04276338,0.018726921,-0.015278614,-6.67E-02,0.045614068,-0.001983242,0.049280898,0.050530026,-0.005964264,-5.44E-02,-0.063559429,-0.042959049,-8.89E-03,-0.027906638,-0.01194025
12/31/1994,0.06125586,0.046980389,0.003467014,0.047353779,0.005570932,0.018475768,2.29E-02,0.041763377,0.05747137,0.117769887,-0.004544778,0.024959353,0.011882387,0.038869273,0.025761162,-0.001711525,0.007334951,0.030836999,4.15E-02,0.031827893,-0.027834161,0.168859999,-0.001616096,-0.00799996,9.40E-02,0.074787077,-0.007481696,-8.60E-02,0.00621114,-0.024169208
1/31/1995,-0.087281647,0.035255945,0.067796328,-0.053191494,0.033241055,-0.063903487,0.00E+00,-0.051224974,0.107783793,0.009803455,0.01630466,0.006257329,0.087026059,-0.018707454,0.061643742,0.087108292,0.019417444,0.11538464,-1.87E-02,0.055737724,-0.028628816,-0.048575896,0.058252419,0.056354575,7.26E-02,0.021868129,0.105596466,7.65E-02,0.028806625,0.066093358
2/28/1995,-0.007948515,-0.018978349,0.067459873,0.042104581,0.080322563,0.004866159,7.79E-02,0.063116835,0.049140243,0.063107294,-0.039282889,0.144278616,0.149549791,0.046834472,-0.018738991,0.028846131,0.047619094,0.021006426,5.46E-02,0.052795048,0.061051819,0.012324598,0.021770122,0.021113238,1.30E-02,0.040871253,-0.01152078,3.83E-02,0.034362881,-0.023460496
3/31/1995,0.064102457,-0.107594981,0.037174795,0.165311668,0.017543872,0.075060531,7.87E-03,0.077950993,0.002341846,-0.006257317,-0.013927649,0.049610663,0.064262982,0.091362155,0.04845809,-0.048313697,0.029079323,0.026315787,6.16E-02,0.013093228,0.128967951,0.043913213,0.033131707,-0.003759344,3.65E-02,0.041430183,-0.013985838,8.11E-02,0.043052865,0.009009028
4/30/1995,0.081325401,0.08510688,0.002886494,0.023255799,-0.014778396,0.058749275,-1.30E-02,0.088842962,0.036762899,0.037036646,-0.056496769,0.098649596,0.206935803,0.15220698,0.092436975,0.105960891,0.031042042,0.025641023,2.58E-02,0.0058651,0.149386524,0.021666355,0.010204366,0.060173738,-4.00E-02,0.057866181,0.046696254,-7.32E-02,0.043151955,0.06109781
